"time (s)","/A (V)","/B (V)","/VP (V)","/S (V)","/Cout (V)"
8.94E-9,1.800,0.00000,-11.25E-6,1.800,613.7E-12
9.040E-9,1.800,0.00000,-10.91E-6,1.800,614.4E-12
9.065E-9,1.800,0.00000,-10.83E-6,1.800,614.4E-12
9.115E-9,1.800,0.00000,-10.67E-6,1.800,614.9E-12
9.215E-9,1.800,0.00000,-10.37E-6,1.800,615.4E-12
9.315E-9,1.800,0.00000,-10.08E-6,1.800,615.9E-12
9.34E-9,1.800,0.00000,-10.01E-6,1.800,616.0E-12
9.39E-9,1.800,0.00000,-9.870E-6,1.800,616.5E-12
9.49E-9,1.800,0.00000,-9.607E-6,1.800,616.9E-12
9.59E-9,1.800,0.00000,-9.357E-6,1.800,617.2E-12
9.615E-9,1.800,0.00000,-9.297E-6,1.800,617.3E-12
9.665E-9,1.800,0.00000,-9.178E-6,1.800,617.6E-12
9.765E-9,1.800,0.00000,-8.949E-6,1.800,617.9E-12
9.790E-9,1.800,0.00000,-8.894E-6,1.800,617.9E-12
9.84E-9,1.800,0.00000,-8.785E-6,1.800,618.2E-12
9.92E-9,1.800,0.00000,-8.616E-6,1.800,618.4E-12
10.0E-9,1.800,0.00000,-8.454E-6,1.800,618.6E-12
